Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1721200,0CF00417,true,Rx,0,8,FF,FF,FF,B4,12,FF,FF,FF,
1732027,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
1740445,0CF00417,true,Rx,0,8,FF,FF,FF,BC,12,FF,FF,FF,
1761343,0CF00417,true,Rx,0,8,FF,FF,FF,BE,12,FF,FF,FF,
1780947,0CF00417,true,Rx,0,8,FF,FF,FF,BE,12,FF,FF,FF,
1782061,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
1803322,0CF00417,true,Rx,0,8,FF,FF,FF,BC,12,FF,FF,FF,
1821661,0CF00417,true,Rx,0,8,FF,FF,FF,BC,12,FF,FF,FF,
1832112,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
1841290,0CF00417,true,Rx,0,8,FF,FF,FF,BC,12,FF,FF,FF,
1862073,0CF00417,true,Rx,0,8,FF,FF,FF,BA,12,FF,FF,FF,
1881705,0CF00417,true,Rx,0,8,FF,FF,FF,B7,12,FF,FF,FF,
1882110,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
1902226,0CF00417,true,Rx,0,8,FF,FF,FF,B9,12,FF,FF,FF,
1922436,0CF00417,true,Rx,0,8,FF,FF,FF,B9,12,FF,FF,FF,
1932005,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
1941634,0CF00417,true,Rx,0,8,FF,FF,FF,C2,12,FF,FF,FF,
1941975,18FEC1EE,true,Rx,0,8,84,B7,EC,00,40,70,10,00,
1962592,0CF00417,true,Rx,0,8,FF,FF,FF,C5,12,FF,FF,FF,
1979773,0CF00417,true,Rx,0,8,FF,FF,FF,C3,12,FF,FF,FF,
1982417,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
1999917,0CF00417,true,Rx,0,8,FF,FF,FF,C2,12,FF,FF,FF,
2002111,18FEE6EE,true,Rx,0,8,CC,1F,14,07,58,27,7D,7A,
2019934,0CF00417,true,Rx,0,8,FF,FF,FF,C2,12,FF,FF,FF,
2032189,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
2039913,0CF00417,true,Rx,0,8,FF,FF,FF,C1,12,FF,FF,FF,
2059870,0CF00417,true,Rx,0,8,FF,FF,FF,BD,12,FF,FF,FF,
2079842,0CF00417,true,Rx,0,8,FF,FF,FF,B7,12,FF,FF,FF,
2083245,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
2099685,0CF00417,true,Rx,0,8,FF,FF,FF,B8,12,FF,FF,FF,
2119874,0CF00417,true,Rx,0,8,FF,FF,FF,B8,12,FF,FF,FF,
2132024,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
2139747,0CF00417,true,Rx,0,8,FF,FF,FF,BA,12,FF,FF,FF,
2159819,0CF00417,true,Rx,0,8,FF,FF,FF,BA,12,FF,FF,FF,
2179818,0CF00417,true,Rx,0,8,FF,FF,FF,BD,12,FF,FF,FF,
2184195,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
2199892,0CF00417,true,Rx,0,8,FF,FF,FF,BC,12,FF,FF,FF,
2219907,0CF00417,true,Rx,0,8,FF,FF,FF,BC,12,FF,FF,FF,
2232314,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
2239850,0CF00417,true,Rx,0,8,FF,FF,FF,B8,12,FF,FF,FF,
2259706,0CF00417,true,Rx,0,8,FF,FF,FF,B4,12,FF,FF,FF,
2279891,0CF00417,true,Rx,0,8,FF,FF,FF,AE,12,FF,FF,FF,
2284795,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
2299693,0CF00417,true,Rx,0,8,FF,FF,FF,AC,12,FF,FF,FF,
2319747,0CF00417,true,Rx,0,8,FF,FF,FF,AC,12,FF,FF,FF,
2332145,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
2339868,0CF00417,true,Rx,0,8,FF,FF,FF,AC,12,FF,FF,FF,
2359691,0CF00417,true,Rx,0,8,FF,FF,FF,AE,12,FF,FF,FF,
2379788,0CF00417,true,Rx,0,8,FF,FF,FF,AF,12,FF,FF,FF,
2382159,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
2399832,0CF00417,true,Rx,0,8,FF,FF,FF,AF,12,FF,FF,FF,
2419874,0CF00417,true,Rx,0,8,FF,FF,FF,AF,12,FF,FF,FF,
2432126,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
2439850,0CF00417,true,Rx,0,8,FF,FF,FF,B1,12,FF,FF,FF,
2459931,0CF00417,true,Rx,0,8,FF,FF,FF,B4,12,FF,FF,FF,
2479818,0CF00417,true,Rx,0,8,FF,FF,FF,B8,12,FF,FF,FF,
2482169,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
2499744,0CF00417,true,Rx,0,8,FF,FF,FF,C3,12,FF,FF,FF,
2519739,0CF00417,true,Rx,0,8,FF,FF,FF,C3,12,FF,FF,FF,
2532257,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
2539724,0CF00417,true,Rx,0,8,FF,FF,FF,DA,12,FF,FF,FF,
2559915,0CF00417,true,Rx,0,8,FF,FF,FF,DC,12,FF,FF,FF,
2579718,0CF00417,true,Rx,0,8,FF,FF,FF,D9,12,FF,FF,FF,
2582338,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
2599771,0CF00417,true,Rx,0,8,FF,FF,FF,D5,12,FF,FF,FF,
2619973,0CF00417,true,Rx,0,8,FF,FF,FF,D5,12,FF,FF,FF,
2632158,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
2639883,0CF00417,true,Rx,0,8,FF,FF,FF,CF,12,FF,FF,FF,
2659838,0CF00417,true,Rx,0,8,FF,FF,FF,C7,12,FF,FF,FF,
2679954,1CDEEE17,true,Rx,0,8,FC,FF,FF,FF,FF,FF,FF,FF,
2680264,0CF00417,true,Rx,0,8,FF,FF,FF,BA,12,FF,FF,FF,
2682097,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
2699834,0CF00417,true,Rx,0,8,FF,FF,FF,B7,12,FF,FF,FF,
2719711,0CF00417,true,Rx,0,8,FF,FF,FF,B7,12,FF,FF,FF,
2732372,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
2739699,0CF00417,true,Rx,0,8,FF,FF,FF,B3,12,FF,FF,FF,
2759763,0CF00417,true,Rx,0,8,FF,FF,FF,B4,12,FF,FF,FF,
2780425,0CF00417,true,Rx,0,8,FF,FF,FF,B5,12,FF,FF,FF,
2782294,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
2799856,0CF00417,true,Rx,0,8,FF,FF,FF,B4,12,FF,FF,FF,
2819796,0CF00417,true,Rx,0,8,FF,FF,FF,B4,12,FF,FF,FF,
2832321,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
2839773,0CF00417,true,Rx,0,8,FF,FF,FF,B1,12,FF,FF,FF,
2859738,0CF00417,true,Rx,0,8,FF,FF,FF,B3,12,FF,FF,FF,
2879885,0CF00417,true,Rx,0,8,FF,FF,FF,B9,12,FF,FF,FF,
2882384,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
2899844,0CF00417,true,Rx,0,8,FF,FF,FF,BD,12,FF,FF,FF,
